Index,Label,Ch,CC,Value,In/01,In/02,In/03,In/04,In/05,In/06,In/07,In/08,Pb/01,Pb/02,Pb/03,Pb/04,Pb/05,Pb/06,Pb/07,Pb/08,Pb/09,Pb/10,Ou/01,Ou/02,Ou/03,Ou/04,Ou/05,Ou/06,Ou/07,Ou/08,Ou/09,Ou/10,Ou/11,Ou/12,Ou/13,Ou/14,Map,Tlk_bk,Ch_dn,Ch_up,Bnk_dn,Bnk_up,Row_dn,Row_up
Label,,,,,Jürgen,Mic2,In3,FX In,Volca,,Andi Hardware Loop,,Ableton Master,,Ableton Instruments,,Ableton Send,,,,Ableton Resample,,Main Out,,FX Send,,Andi Hardware Loop,,Phones,,Rec In,,Main Loopback,,Jürgen Loopback,,None,Talkback,Channel down,Channel Up,Bank down,Bank up,Row down,Row up
Mono/Stereo,,,,,Stereo-----------------------,,Mono,Mono,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,Mono,Mono,Stereo-----------------------,,Stereo-----------------------,,Stereo-----------------------,,,,Stereo-----------------------,,,,,,,,,
Fader 1,,1,0,x,,,,Ou/01+Ou/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 2,,1,1,x,,,,,Ou/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 3,,1,2,x,,,,,,,,,,,Ou/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 4,,1,3,x,,,,,,,,,Ou/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 5,,1,4,x,,,,,,,,,,,,,,,,,,,,,,,Ou/05,,,,,,,,,,,,,,,,,
Fader 6,,1,5,x,Ou/01,Ou/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fader 7,,1,6,x,,,,,,,,,,,,,,,,,,,,,,,,,Ou/07,,,,,,,,,,,,,,,
Fader 8,,1,7,x,,,,,,,,,,,,,,,,,,,Ou/01,,,,,,,,,,,,,,,,,,,,,
Knob 1_1,,1,16,x,,,,Ou/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 1_2,,1,17,x,,,,,Ou/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 1_3,,1,18,x,,,,,,,,,,,Ou/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 1_4,,1,19,x,,,,,,,,,Ou/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 1_5,,1,20,x,,,,,,,Ou/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 1_6,,1,21,x,Ou/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 1_7,,1,22,x,,,,,,,,,,,,,,,,,Ou/03,,,,,,,,,,,,,,,,,,,,,,,
Knob 1_8,,1,23,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 2_1,,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 2_2,,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 2_3,,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knob 2_4,,1,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
